time,hybrid_compare,original_compare,hybrid_time,original_time
1,242298300,220098805,1624,2013
2,242307630,220101492,1663,2256
3,242318037,220100540,1676,2019
4,242322484,220103079,1738,2293
5,242322065,220102497,1717,2128
6,242331189,220102806,1725,2271
7,242298518,220097278,1705,2341
8,242314652,220101148,1744,2182
9,242294744,220097347,1749,2192
10,242325043,220101856,1757,2333
11,242323306,220097293,1575,3772
12,242314872,220100523,4533,6386
13,242327244,220101244,4678,6518
14,242323859,220099267,4718,6183
15,242320382,220101684,4657,6585
16,242339496,220102824,4625,6660
17,242313844,220100292,2147,2204
18,242322805,220100127,1712,2423
19,242312712,220101894,1792,2344
20,242297900,220097605,1820,2265
21,242307553,220097173,1655,2452
22,242307265,220101230,1729,2291
23,242320117,220101371,1741,2247
24,242306533,220100452,1643,2260
25,242304401,220100376,1348,4535
26,242312553,220099843,4667,6281
27,242313067,220100174,4704,2728
28,242310226,220100336,1351,1793
29,242315496,220101511,1280,1714
30,242312396,220103085,1517,2051
31,242329245,220102474,2438,6433
32,242303425,220101405,4695,6422
33,242298959,220095637,4666,6392
34,242321996,220100538,4678,6357
35,242305994,220097800,4722,6360
36,242295099,220097765,4683,6388
37,242326289,220100366,4691,6408
38,242323771,220098725,4631,6362
39,242319792,220102012,4707,6408
40,242312330,220102025,4694,6327
41,242302990,220100002,4699,6416
42,242316736,220102392,4707,6433
43,242313823,220101237,4698,6425
44,242325133,220100396,4736,6407
45,242337494,220100912,4704,6353
46,242326658,220101479,4703,6465
47,242328860,220102618,4745,6473
48,242315571,220101264,4602,6207
49,242335943,220103399,4688,6367
50,242321982,220101558,4630,6330
51,242305148,220100340,4600,6375
52,242321902,220100179,4707,6555
53,242312330,220098727,4823,6284
54,242331971,220101740,4811,6503
55,242305915,220100427,4753,6473
56,242312411,220100715,3032,6533
57,242314698,220099385,4767,6594
58,242338065,220101514,4842,6363
59,242325581,220099029,4800,6465
60,242306255,220098486,4617,6276
61,242319931,220099616,4520,6441
62,242313185,220100284,4795,6368
63,242306942,220101472,4732,6344
64,242302373,220099500,4743,6475
65,242310907,220098319,4748,6488
66,242300176,220098542,4674,6400
67,242320053,220101581,4747,6430
68,242313152,220101304,4701,6303
69,242314923,220097334,4748,6572
70,242309100,220100121,4583,6276
71,242300223,220100678,4578,5868
72,242312485,220099927,4678,6338
73,242307116,220102365,4628,6292
74,242316562,220098890,4493,6356
75,242323624,220098704,4656,6346
76,242303188,220103015,4648,6069
77,242317160,220101229,4621,6181
78,242320267,220102302,4644,6364
79,242308852,220103553,4607,6257
80,242317964,220103360,4659,6320
81,242309183,220099951,4647,6295
82,242325463,220103753,4580,6330
83,242304505,220101133,4673,6364
84,242308594,220100947,4666,6182
85,242311369,220100935,4683,6368
86,242313105,220099543,4627,6341
87,242319299,220103581,4449,6435
88,242312051,220101393,4633,6383
89,242314368,220100721,4629,6000
90,242323275,220102012,4661,6314
91,242324077,220102324,4625,6303
92,242305755,220097782,4516,6211
93,242307179,220100500,4598,6325
94,242304800,220101875,4629,6398
95,242324689,220097810,4624,6484
96,242305782,220099545,4727,6421
97,242321292,220099105,4716,6292
98,242331390,220098398,4656,6426
99,242302745,220097777,4764,5222
100,242314764,220100983,1573,1878
