n,compareCount,time
1000000,18674543,133
2000000,39348777,273
3000000,60820815,432
4000000,82697442,565
5000000,105050424,730
6000000,127642609,869
7000000,150447341,1072
8000000,173395578,1202
9000000,196642308,1415
10000000,220101612,1587
11000000,243652015,2008
12000000,267283363,1957
13000000,291025955,2048
14000000,314894545,2237
15000000,338812722,2439
16000000,362788402,2597
17000000,386875045,2746
18000000,411287230,2939
19000000,435720980,3175
20000000,460202219,3385
21000000,484700938,3585
22000000,509300638,4034
23000000,533918990,4506
24000000,558567481,5155
25000000,583229635,5148
26000000,608050939,5520
27000000,632908472,5475
28000000,657793468,5988
