threshold,CompareCount1,time1,CompareCount2,time2,CompareCount3,time3
1,460200918,4832,460203301,5349,460200293,5250
2,460200918,4505,460203301,5025,460200293,9863
3,460199692,10419,460204142,8465,460200124,10717
4,460442187,9103,460446631,8959,460442135,10737
5,462215553,10473,462219783,10766,462217566,10104
6,462215553,10584,462219783,10591,462217566,10465
7,462215553,10740,462219783,10818,462217566,10380
8,462215553,10647,462219783,10397,462217566,10469
9,466301338,10588,466302219,10323,466299418,10559
10,472839701,10125,472838889,9995,472830144,10167
11,472839701,10182,472838889,9838,472830144,9927
12,472839701,9838,472838889,9464,472830144,9903
13,472839701,10118,472838889,9655,472830144,10209
14,472839701,10019,472838889,9948,472830144,10121
15,472839701,10117,472838889,9804,472830144,10109
16,472839701,10064,472838889,9654,472830144,10105
17,472839701,10210,472838889,9778,472830144,10416
18,472839701,9518,472838889,9332,472830144,4543
19,502000318,3795,502031544,4280,501995768,9888
20,504627248,9266,504655110,9762,504630415,9358
21,504627248,8996,504655110,9378,504630415,9663
22,504627248,4537,504655110,3407,504630415,3497
23,504627248,3986,504655110,3284,504630415,3087
24,504627248,3622,504655110,4023,504630415,3526
25,504627248,3418,504655110,3232,504630415,3410
26,504627248,4137,504655110,3083,504630415,4129
27,504627248,2992,504655110,3222,504630415,3364
28,504627248,4785,504655110,4078,504630415,3316
29,504627248,3480,504655110,3617,504630415,3461
30,504627248,3668,504655110,3438,504630415,3071
31,504627248,3849,504655110,2647,504630415,3931
32,504627248,4059,504655110,3734,504630415,3927
33,504627248,3913,504655110,3472,504630415,4043
34,504627248,4250,504655110,3906,504630415,4084
35,504627248,3986,504655110,4053,504630415,3761
36,504627248,3820,504655110,3879,504630415,3660
37,504627248,3919,504655110,3913,504630415,3542
38,570476138,3585,570498377,3524,570526473,3684
39,582486570,3778,582502612,3898,582532767,3952
40,582486570,4109,582502612,4152,582532767,4003
41,582486570,3758,582502612,3989,582532767,3610
42,582486570,3558,582502612,3650,582532767,3492
43,582486570,3552,582502612,3548,582532767,3656
44,582486570,3984,582502612,3676,582532767,3776
45,582486570,3606,582502612,3694,582532767,3894
46,582486570,3784,582502612,3467,582532767,3437
47,582486570,3404,582502612,3543,582532767,3511
48,582486570,3451,582502612,3470,582532767,3898
49,582486570,3450,582502612,3513,582532767,3886
50,582486570,3748,582502612,4002,582532767,4115
51,582486570,3830,582502612,3727,582532767,3510
52,582486570,3955,582502612,3945,582532767,3848
53,582486570,4487,582502612,4586,582532767,4114
54,582486570,3796,582502612,3652,582532767,4132
55,582486570,3732,582502612,3944,582532767,3876
56,582486570,3965,582502612,3951,582532767,3796
57,582486570,4416,582502612,4128,582532767,4114
58,582486570,3757,582502612,3599,582532767,3849
59,582486570,3717,582502612,3813,582532767,3869
60,582486570,3805,582502612,3791,582532767,3872
61,582486570,3996,582502612,3899,582532767,3712
62,582486570,4034,582502612,3908,582532767,3720
63,582486570,3705,582502612,3762,582532767,3644
64,582486570,3416,582502612,3722,582532767,3813
65,582486570,3942,582502612,3013,582532767,3202
66,582486570,4157,582502612,3555,582532767,3098
67,582486570,4229,582502612,3337,582532767,3554
68,582486570,3711,582502612,3832,582532767,3658
69,582486570,3577,582502612,3957,582532767,3700
70,582486570,3584,582502612,3805,582532767,3582
71,582486570,3616,582502612,3887,582532767,3804
72,582486570,4088,582502612,3554,582532767,3331
73,582486570,3398,582502612,4200,582532767,3915
74,582486570,3938,582502612,3948,582532767,3664
75,582486570,3554,582502612,6501,582532767,9818
76,703072443,9693,703027729,5456,703105595,3587
77,754670710,4142,754595310,4072,754746862,3905
78,754670710,3822,754595310,4122,754746862,3715
79,754670710,3953,754595310,4007,754746862,3787
80,754670710,3858,754595310,3705,754746862,3953
81,754670710,4136,754595310,3701,754746862,4100
82,754670710,3990,754595310,3983,754746862,3955
83,754670710,3957,754595310,3790,754746862,3787
84,754670710,3918,754595310,4044,754746862,3989
85,754670710,4223,754595310,4232,754746862,4184
86,754670710,4066,754595310,3717,754746862,3972
87,754670710,4148,754595310,4226,754746862,3902
88,754670710,3649,754595310,4059,754746862,3936
89,754670710,4161,754595310,3951,754746862,3870
90,754670710,3699,754595310,4191,754746862,3776
91,754670710,4109,754595310,3725,754746862,3678
92,754670710,3795,754595310,3953,754746862,3913
93,754670710,4046,754595310,4238,754746862,3781
94,754670710,3952,754595310,3977,754746862,4096
95,754670710,4151,754595310,4214,754746862,4115
96,754670710,4050,754595310,3817,754746862,4316
97,754670710,4237,754595310,7780,754746862,9620
98,754670710,10231,754595310,10555,754746862,10114
99,754670710,10133,754595310,10589,754746862,10120
100,754670710,10411,754595310,10299,754746862,10152
101,754670710,10214,754595310,9922,754746862,10092
102,754670710,10107,754595310,10008,754746862,9505
103,754670710,10030,754595310,10204,754746862,9875
104,754670710,10287,754595310,9901,754746862,9692
105,754670710,10361,754595310,10585,754746862,9555
106,754670710,9777,754595310,9800,754746862,5326
107,754670710,3647,754595310,4080,754746862,3468
108,754670710,3531,754595310,4053,754746862,3928
109,754670710,3834,754595310,3635,754746862,3844
110,754670710,3701,754595310,3715,754746862,3703
111,754670710,4924,754595310,3797,754746862,3567
112,754670710,3838,754595310,3397,754746862,4534
113,754670710,4203,754595310,5110,754746862,3871
114,754670710,3638,754595310,3852,754746862,3746
115,754670710,3744,754595310,3714,754746862,3773
116,754670710,3809,754595310,3987,754746862,3799
117,754670710,4035,754595310,3915,754746862,4114
118,754670710,3924,754595310,3909,754746862,4410
119,754670710,4409,754595310,4135,754746862,4317
120,754670710,4176,754595310,4048,754746862,3971
121,754670710,4195,754595310,4233,754746862,4017
122,754670710,4252,754595310,4103,754746862,4265
123,754670710,3975,754595310,4399,754746862,6924
124,754670710,6872,754595310,4249,754746862,4079
125,754670710,3577,754595310,4308,754746862,4586
126,754670710,3587,754595310,4639,754746862,3472
127,754670710,3796,754595310,3744,754746862,3924
