threshold,CompareCount1,time1,CompareCount2,time2,CompareCount3,time3
4,1216453688,9970,1216461864,9790,1216455010,9794
8,1226435708,9160,1226444652,9102,1226443634,8853
12,1265648406,8558,1265645952,8504,1265647539,8527
16,1265648406,8551,1265645952,8486,1265647539,8570
20,1265648406,8494,1265645952,8539,1265647539,8493
24,1373627935,8487,1373626029,8476,1373596900,8539
28,1373627935,8474,1373626029,8499,1373596900,8417
32,1373627935,8466,1373626029,8462,1373596900,8439
36,1373627935,8474,1373626029,8445,1373596900,8477
40,1373627935,8439,1373626029,8504,1373596900,8464
44,1373627935,8508,1373626029,8451,1373596900,8482
48,1626915952,8951,1626878354,8852,1626788766,8910
52,1626915952,9197,1626878354,9345,1626788766,9233
56,1626915952,8986,1626878354,8912,1626788766,8971
60,1626915952,8946,1626878354,8889,1626788766,8974
64,1626915952,8865,1626878354,9122,1626788766,8884
68,1626915952,8939,1626878354,9113,1626788766,9055
72,1626915952,8919,1626878354,8929,1626788766,8892
76,1626915952,8924,1626878354,8996,1626788766,8907
80,1626915952,8882,1626878354,8940,1626788766,9183
